First Name,Last Name,Job Title,Office Phone,Email Addess,Description,Organizational Unit
Nate,Terry,Nate Terry,403-658-9654,nate@agency.com,C1511 Analyst,"OU=Office,OU=itFlee,DC=WidgetLLC,DC=Internal"
Stephen,Kerst,Stephen Kerst,403-695-8511,stephen@agency.com,C1511 Analyst,"OU=Office,OU=itFlee,DC=WidgetLLC,DC=Internal"
Luis,Garcia,Luis Garcia,403-693-3254,luis@agency.com,Tech Lead,"OU=Administrators,OU=itFlee,DC=WidgetLLC,DC=Internal"
Jessica,Dillinger,Jessica Dillinger,403-589-6932,jessica@agency.com,Chief,"OU=Administrators,OU=itFlee,DC=WidgetLLC,DC=Internal"
Nate1,Terry,Nate1 Terry,403-658-9654,Nate1@agency.com,C1511 Analyst,"OU=Office,OU=itFlee,DC=WidgetLLC,DC=Internal"
Stephen1,Kerst,Stephen1 Kerst,403-695-8511,Stephen1@agency.com,C1511 Analyst,"OU=Office,OU=itFlee,DC=WidgetLLC,DC=Internal"
Luis1,Garcia,Luis1 Garcia,403-693-3254,Luis1@agency.com,Tech Lead,"OU=Administrators,OU=itFlee,DC=WidgetLLC,DC=Internal"
Jessica1,Dillinger,Jessica1 Dillinger,403-589-6932,Jessica1@agency.com,Chief,"OU=Administrators,OU=itFlee,DC=WidgetLLC,DC=Internal"
Nate5,Terry,Nate5 Terry,403-658-9654,Nate5@agency.com,C1511 Analyst,"OU=Office,OU=itFlee,DC=WidgetLLC,DC=Internal"
Stephen5,Kerst,Stephen5 Kerst,403-695-8511,Stephen5@agency.com,C1511 Analyst,"OU=Office,OU=itFlee,DC=WidgetLLC,DC=Internal"
Luis5,Garcia,Luis5 Garcia,403-693-3254,Luis5@agency.com,Tech Lead,"OU=Administrators,OU=itFlee,DC=WidgetLLC,DC=Internal"
Jessica5,Dillinger,Jessica5 Dillinger,403-589-6932,Jessica5@agency.com,Chief,"OU=Administrators,OU=itFlee,DC=WidgetLLC,DC=Internal"
Nate9,Terry,Nate9 Terry,403-658-9655,Nate9@agency.com,C1511 Analyst,"OU=Office,OU=itFlee,DC=WidgetLLC,DC=Internal"
Stephen9,Kerst,Stephen9 Kerst,403-695-8512,Stephen9@agency.com,C1511 Analyst,"OU=Office,OU=itFlee,DC=WidgetLLC,DC=Internal"
Luis9,Garcia,Luis9 Garcia,403-693-3255,Luis9@agency.com,Tech Lead,"OU=Administrators,OU=itFlee,DC=WidgetLLC,DC=Internal"
